Current_Word,Next_Word,Levenshtein_distance
Older,PCs,5
PCs,Preventon,8
Preventon,PC,8
PC,PCs,1
PCs,Paul,3
Paul,Goosens,7
Goosens,Preventon,7
Preventon,BBC,9
BBC,News,4
News,Programs,7
Programs,Mr,7
Mr,Goosens,7
Goosens,Security,8
Security,High-profile,10
High-profile,Without,9
Without,PCs,7
PCs,Symantec,8
Symantec,Viruses,7
Viruses,Programs,7
Programs,Eastern,8
Eastern,Europe,6
Europe,Mr,5
Mr,Goosens,7
Goosens,UK,7
UK,July,4
July,UK,4
UK,Office,6
Office,National,7
National,Statistics,7
Speak,Music,5
Music,US,5
US,ScanSoft,7
ScanSoft,Gracenote,7
Gracenote,Huge,8
Huge,Ross,4
Ross,Blanchard,9
Blanchard,Gracenote,8
Gracenote,Gracenote,0
Gracenote,Apples,8
Apples,Users,5
Users,Alan,5
Alan,Schwartz,7
Schwartz,SpeechWorks,7
SpeechWorks,ScanSoft,9
ScanSoft,Gracenotes,8
Gracenotes,English,9
English,Users,6
Users,Portable,8
Portable,Apple,6
Apple,Elvis,5
Elvis,Presley,7
US,US,0
US,New,3
New,Yorker,5
Yorker,William,7
William,Trowbridge,9
Trowbridge,Texan,9
Texan,Michael,6
Michael,Chicoine,6
Chicoine,August,8
August,FBI,6
FBI,US,3
US,Department,10
Department,Justice,9
Justice,Direct,6
Direct,Connect,4
Connect,Underground,10
Underground,Network,9
Network,Direct,7
Direct,Connect,4
Connect,Users,6
Users,FBI,5
FBI,Operation,9
Operation,Digital,8
Digital,Gridlock,7
Gridlock,August,8
August,Five,6
Five,Department,9
Department,Justice,9
Justice,April,6
Sony,PSP,4
PSP,US,2
US,March,5
March,US,5
US,Sonys,5
Sonys,PlayStation,10
PlayStation,Portable,8
Portable,March,7
March,Europe,5
Europe,Spider-Man,9
Spider-Man,UMD,9
UMD,Sony,4
Sony,Walkman,7
Walkman,Century,7
Century,Japan,7
Japan,Sony,5
Sony,Nintendo,7
Nintendo,DS,8
DS,Japan,5
Japan,US,5
US,Sony,4
Sony,PSP,4
PSP,Europe,6
Europe,US,6
US,Nintendo,8
Nintendo,DS,8
DS,Europe,6
Europe,March,5
March,Kaz,4
Kaz,Hirai,4
Hirai,Sony,5
Sony,Computer,7
Computer,Entertainment,11
Entertainment,America,10
Rivals,Apple,5
Apple,Mac,5
Mac,Apple,5
Apple,Mac,5
Mac,PCs,3
PCs,Dotlife,7
Dotlife,Macintosh,9
Macintosh,Apple,9
Apple,Mac,5
Mac,Mini,3
Mini,Power,5
Power,PC,4
PC,CD,2
CD,USB,3
USB,Firewire,8
Firewire,Ethernet,7
Ethernet,Mac,8
Mac,OS,3
OS,X,2
X,Apple,5
Apple,GarageBand,9
GarageBand,DVD,10
DVD,Wireless,8
Wireless,Apple,6
Apple,PC,5
PC,Apple,5
Apple,Compact,6
Compact,Mac,5
Mac,Apple,5
Apple,Mac,5
Mac,Macs,1
Macs,PC,4
PC,Mac,3
Mac,Mini,3
Mini,Macintosh,6
Macintosh,Apple,9
Apple,PC,5
PC,Intel,5
Intel,Celeron,6
Celeron,CD,6
CD,USB,3
USB,Ethernet,8
Ethernet,Theres,4
Theres,Windows,6
Windows,XP,7
XP,DVD,3
DVD,Wireless,8
Wireless,Homes,6
Homes,Cost,4
Cost,Dell,4
Dell,Dell,0
Dell,Dell,0
Dell,Mac,4
Mac,Mini,3
Mini,PC,4
PC,Pro,2
Pro,VAT,3
VAT,PC,3
PC,PC,0
PC,Pro,2
Pro,AMD,3
AMD,Sempron,7
Sempron,Ram,6
Ram,DVD,3
DVD,Windows,7
Windows,XP2,7
XP2,Much,4
Much,Firewire,8
Firewire,JAL,8
JAL,Nick,4
Nick,Ross,4
Ross,PC,4
PC,Pro,2
Pro,PC,2
PC,Interest,8
Interest,PC,8
PC,AMD,3
AMD,Athlon,5
Athlon,XP,6
XP,Ram,3
Ram,Ram,0
Ram,TV,3
TV,GB,2
GB,CD-writer,9
CD-writer,DVD,8
DVD,Windows,7
Windows,XP,7
XP,Home,4
Home,Anything,8
Anything,Building,5
Building,Experienced,9
Experienced,PC,11
PC,Building,8
Building,PC,8
PC,Gavin,5
Gavin,Cox,5
Cox,PC,3
PC,Mac,3
Mac,Mac,0
Mac,Gavin,4
Gavin,Cox,5
Cox,Mr,3
Mr,Cox,3
Cox,Mac,3
Warning,Net,7
Net,Disasters,8
Disasters,Emergency,9
Emergency,Committee,9
Committee,However,7
However,DEC,7
DEC,Tsunami,7
Tsunami,Earthquake,9
Earthquake,Appeal,9
Appeal,Patricia,8
Patricia,Sanders,7
Sanders,Disaster,6
Disaster,Emergency,9
Emergency,Committee,9
Committee,Computer,4
Computer,Crime,6
Crime,Unit,4
Unit,Scotland,7
Scotland,Yard,6
Yard,Romania,6
Romania,Ms,7
Ms,Sanders,6
Sanders,DEC,7
DEC,US,3
US,DEC,3
DEC,BT,3
BT,DECs,4
DECs,Ms,3
Ms,Sanders,6
Sanders,DECs,6
DECs,DEC,1
DEC,BBC,2
BBC,News,4
News,None,3
None,One,2
One,January,6
January,Netherlands,10
Netherlands,Nigerian,6
Nigerian,Sophos,8
Sophos,January,7
January,Another,7
Another,Zar,6
Zar,Microsofts,9
Microsofts,Outlook,8
Outlook,Anyone,6
Intel,Intel,0
Intel,Scientists,8
Scientists,Intel,8
Intel,Intel,0
Intel,Dr,5
Dr,Mario,4
Mario,Paniccia,6
Paniccia,Intels,7
Intels,Writing,6
Writing,Nature,6
Nature,Dr,5
Dr,Paniccia,8
Paniccia,Haisheng,7
Haisheng,Rong,6
Rong,Richard,6
Richard,Jones,7
Jones,Ansheng,6
Ansheng,Liu,7
Liu,Oded,4
Oded,Cohen,4
Cohen,Dani,5
Dani,Hak,3
Hak,Alexander,8
Alexander,Fang,7
Fang,Currently,8
Currently,Dr,8
Dr,Paniccia,8
Paniccia,Telecommunications,14
Telecommunications,Dr,18
Dr,Paniccia,8
Paniccia,Dr,8
Dr,Paniccia,8
Paniccia,Intel,7
Intel,Even,4
Even,Semi-conductor,13
Semi-conductor,Dr,13
Dr,Paniccia,8
Britons,PC,7
PC,Pro,2
Pro,Magazine,8
Magazine,Britons,7
Britons,BT,6
BT,UKs,3
UKs,Tim,3
Tim,Danton,6
Danton,PC,6
PC,Pro,2
Pro,Magazine,8
Magazine,Every,8
Every,BT,5
BT,Tiscali,7
Tiscali,Broadband,8
Broadband,Tim,9
Tim,Danton,6
Danton,PC,6
PC,Pro,2
Pro,Ofcom,4
Ofcom,UK,5
UK,Mr,2
Mr,Danton,6
Junk,Spam,4
Spam,Email,4
Email,Systems,7
Systems,Virus,6
Virus,Email,5
Email,Systems,7
Systems,UK-based,8
UK-based,January,7
January,Email,6
Email,Systems,7
Systems,Half,7
Half,Christmas,9
Christmas,Scam,8
Scam,Neil,4
Neil,Hammerton,8
Hammerton,Email,8
Email,Systems,7
Apple,Mac,5
Mac,Mac,0
Mac,Apple,5
Apple,PC,5
PC,Apple,5
Apple,Mac,5
Mac,Mac,0
Mac,Apple,5
Apple,Mac,5
Mac,Jonny,5
Jonny,Evans,4
Evans,Macworld,8
Macworld,Mr,6
Mr,Evans,5
Evans,Apple,5
Apple,Already,6
Already,PC,7
PC,Interest,8
Interest,Macworld,8
Macworld,Apples,8
Apples,According,8
According,Netcraft,8
Netcraft,Apple,8
Apple,Mr,5
Mr,Jobs,4
Jobs,Macworld,7
Macworld,Expo,7
Expo,PC,4
PC,Nick,4
Nick,Ross,4
Ross,PC,4
PC,Pro,2
Pro,Apples,6
Apples,Mac,6
Mac,Mac,0
Mac,Mr,2
Mr,Ross,4
Ross,Ian,4
Ian,Fogg,4
Fogg,Jupiter,7
Jupiter,Research,8
Research,Mac,6
Mac,Mac,0
Mac,Apple,5
Apple,But,5
But,Mac,3
Mac,Apple,5
Apple,Apple,0
Apple,Mac,5
Mac,UK,3
UK,US,1
US,Adding,6
Adding,January,7
January,Mr,6
Mr,Fogg,4
Fogg,Apple,5
Apple,Mac,5
Mac,Mr,2
Mr,Fogg,4
Fogg,PC,4
PC,Mac,3
Mac,Mac,0
Mac,LCD,3
LCD,LCD,0
LCD,Mac,3
Mac,Mac,0
Mac,Mr,2
Mr,Fogg,4
Fogg,Mac,4
Mac,TV,3
TV,Said,4
Said,Mr,4
Mr,Fogg:,5
Fogg:,One,5
One,Brian,5
Brian,Gammage,6
Gammage,Gartner,5
Gartner,Although,8
Although,Mac,8
Mac,Apple,5
Apple,PCs,5
PCs,Also,3
Also,PC,4
PC,Apple,5
Apple,Mr,5
Mr,Gammage,7
Gammage,Mac,6
Looks,Mobile,5
Mobile,Gartner,6
Gartner,Gartner,0
Gartner,Good,6
Good,Although,7
Although,Gartner,8
Gartner,Japan,5
Japan,Europe,6
Europe,Carolina,6
Carolina,Milanesi,8
Milanesi,BBC,8
BBC,News,4
News,America,6
America,European,7
European,TV,8
TV,European,8
European,US,8
US,Gartner,7
Gartner,Gartner,0
Gartner,Third,7
Third,Ms,5
Ms,Milanesi,6
Milanesi,Motorola,7
Motorola,Razr,7
Razr,V3,4
V3,Europe,6
Europe,Ms,6
Ms,Milanesi,6
Milanesi,Juniper,7
Juniper,Research,8
Research,Sony,8
Sony,Ericsson,7
Ericsson,Walkman,7
Walkman,W800,6
W800,July,4
July,Motorola,7
Motorola,Apple,7
Apple,Motorola,7
Motorola,Apple,7
Apple,Motorolas,8
Motorolas,Ms,7
Ms,Milanesi,6
Format,Technology,9
Technology,Sony,8
Sony,Philips,7
Philips,Matsushita,9
Matsushita,Samsung,7
Samsung,Currently,8
Currently,Systems,8
Systems,Digital,7
Digital,Rights,4
Rights,Management,9
Management,Called,8
Called,Marlin,4
Marlin,Joint,5
Joint,Development,8
Development,Association,11
Association,Marlin,9
Marlin,Intertrust,9
Intertrust,DRM,10
DRM,Coral,5
Coral,Consortium,7
Consortium,Apple,10
Apple,Microsoft,9
Microsoft,Confusingly,10
Confusingly,Microsoft,10
Microsoft,Apple,9
Apple,DRM,5
DRM,Betamax,7
Betamax,VHS,7
VHS,Ian,3
Ian,Fogg,4
Fogg,Jupiter,7
Jupiter,Research,8
Research,Mr,7
Mr,Fogg,4
Fogg,DRM,4
DRM,Although,8
Although,Microsofts,9
Microsofts,Sure,9
Sure,Shelley,5
Shelley,Taylor,6
Taylor,Apples,5
Apples,Apple,1
Apple,Ms,5
Ms,Taylor,6
Taylor,Cory,5
Cory,Doctorow,6
Doctorow,European,8
European,Electronic,8
Electronic,Frontier,8
Frontier,Foundation,6
Foundation,Marlin,8
Marlin,DRM,6
DRM,Instead,7
Instead,Mr,7
Mr,Doctorow,7
Doctorow,DRM,7
DRM,American,8
American,UK,8
Latest,Opera,5
Opera,Net,4
Net,Opera,4
Opera,IBM,5
IBM,Windows,7
Windows,Opera,7
Opera,Opera,0
Opera,Berit,4
Berit,Hanson,6
Hanson,Another,7
Another,Opera,6
Opera,Ms,5
Ms,Hanson,5
Hanson,Unlike,6
Unlike,Opera,6
Opera,Around,6
Around,English,7
English,Opera,7
Opera,Opera,0
Opera,Norwegian,7
Norwegian,Telenor,8
Mobile,BBC,6
BBC,News,4
News,Part,4
Part,Monday,6
Monday,Reviews,7
Reviews,Call,7
Call,Duty,4
Duty,Splinter,7
Splinter,Cell,7
Cell,Pandora,7
Pandora,Tomorrow,7
Tomorrow,Lord,6
Lord,Rings,5
Rings,Pocket,6
Pocket,Kingdom,7
Kingdom,Monday,5
Monday,Snake,5
Snake,Even,5
Even,Nokias,6
Nokias,N-Gage,5
N-Gage,GameBoy,6
GameBoy,Life,6
Life,Wireless,6
Wireless,Gaming,8
Gaming,Review,5
Review,UK,6
UK,PC,2
PC,Space,5
Space,Invaders,6
Invaders,Lunar,6
Lunar,Lander,3
Lander,Bejewelled,9
Bejewelled,Colin,9
Colin,McRae,5
McRae,Rally,5
Rally,PCs,5
PCs,Rarely,6
Rarely,Increasingly,8
Increasingly,Wap,11
Wap,Far,2
Far,Almost,6
Almost,Java,6
Java,Many,3
Many,Usually,5
Usually,Bluetooth,8
Bluetooth,FAST,9
FAST,FURIOUS,6
FURIOUS,BRIDGES,5
BRIDGES,Im,6
Im,Winning,7
Winning,Graphically,10
Graphically,FATAL,11
FATAL,FORCE,4
FORCE,Earth,5
Earth,Graphics,7
Graphics,Fatal,7
Fatal,Force,4
Force,Weapons,7
Weapons,Matrix-style,11
Matrix-style,Bluetooth,11
Bluetooth,Online,9
Mobiles,Games,5
Games,Finnish,6
Finnish,Nokia,6
Nokia,Visual,5
Visual,Radio,6
Radio,FM,5
FM,DAB,3
DAB,Digital,6
Digital,Radio,6
Radio,One,5
One,Visual,6
Visual,Radio,6
Radio,Reidar,4
Reidar,Wasenius,7
Wasenius,Nokia,7
Nokia,Visual,5
Visual,Radio,6
Radio,Visual,6
Visual,Radio,6
Radio,Possible,7
Possible,Visual,6
Visual,Radio,6
Radio,GPRS,5
GPRS,Mr,4
Mr,Wasenius,8
Wasenius,One,7
One,Nokia,5
Nokia,Visual,5
Visual,Radio-enabled,10
Radio-enabled,Visual,10
Visual,Radio,6
Radio,Visual,6
Visual,Radio,6
Radio,UK,5
UK,Virgin,6
Virgin,Radio,5
Radio,Station,4
Station,Steve,5
Steve,Taylor,6
Taylor,Initially,8
Initially,Visual,6
Visual,Radio,6
Radio,Nokia,4
Nokia,Listen,6
Listen,Radio,6
Radio,Five,5
Five,Live,1
Hotspot,People,6
People,Wireless,6
Wireless,Broadreach,9
Broadreach,Skype,9
Skype,UK,5
UK,Users,4
Users,Skype,5
Skype,Skype,0
Skype,PC-based,7
PC-based,Skype,7
Skype,Users,5
Users,Skype,5
Skype,Skype,0
Skype,In,5
In,London-based,11
London-based,Connectotel,9
Connectotel,SMS,11
SMS,Skype,4
Skype,Broadreach,9
Broadreach,Networks,9
Networks,Virgin,8
Virgin,Megastores,10
Megastores,Travelodge,9
Travelodge,Londons,9
Londons,Virgin,6
Virgin,Trains,4
Trains,Skype,6
Skype,Broadreach,9
Broadreach,Magnus,9
Magnus,McEwen-King,9
DVDs,First,4
First,DVD,5
DVD,Hollywood,9
Hollywood,High-definition,13
High-definition,DVD,15
DVD,DVDs,1
DVDs,Rick,4
Rick,Dean,4
Dean,THX,4
THX,Star,4
Star,Wars,3
Wars,DVD,4
DVD,Finding,7
Finding,Nemo,7
Nemo,Incredibles,10
Incredibles,Indiana,7
Indiana,Jones,7
Jones,BBC,5
BBC,News,4
News,DVD,4
DVD,DVD,0
DVD,High-definition,15
High-definition,DVDs,15
DVDs,DVDs,0
DVDs,DVD,1
DVD,DVDs,1
DVDs,Mr,4
Mr,Dean,4
Dean,HD,4
HD,High-definition,14
High-definition,DVDs,15
DVDs,Equally,7
Equally,Hollywood,8
Hollywood,DVD,9
DVD,Mr,3
Mr,Dean,4
Dean,DVDs,3
DVDs,Studios,6
Studios,DVDs,6
DVDs,Currently,9
Currently,DVD,9
DVD,Mr,3
Mr,Dean,4
Dean,Although,8
Although,Mr,8
Mr,Dean,4
Dean,One,4
One,DVD,3
DVD,Star,4
Star,Wars,3
Wars,Mr,3
Mr,Dean,4
Dean,DVD,3
DVD,Mr,3
Mr,Dean,4
Dean,High-definition,13
High-definition,DVD,15
DVD,HD,2
HD,Star,4
Star,Wars,3
Wars,Episode,6
Episode,I,7
I,HD,2
HD,Episode,7
Episode,I,7
I,Mr,2
Mr,Dean,4
Dean,Star,3
Star,Wars,3
Wars,Death,4
Death,Star],4
Star],IP,5
IP,DVD-like,8
DVD-like,Mr,8
Mr,Dean,4
Bill,Thompson,8
Thompson,Cambridge,9
Cambridge,Chip,7
Chip,Intel,5
Intel,Apart,5
Apart,One,5
One,Europe,5
Europe,August,5
August,Waste,5
Waste,Electronic,9
Electronic,Electrical,4
Electrical,Equipment,9
Equipment,Redesigning,9
Redesigning,Were,9
Were,Apple,4
Apple,Mac,5
Mac,Mini,3
Mini,PC,4
PC,Even,4
Even,Apple,5
Apple,Ive,4
Ive,PC,3
PC,Sun,3
Sun,Cambridge,9
Cambridge,Would,8
Would,Id,4
Id,Bill,4
Bill,Thompson,8
Thompson,BBC,8
BBC,World,5
World,Service,6
Service,Go,7
Go,Digital,7
Gamers,TV,6
TV,HD,2
HD,Japan,5
Japan,US,5
US,CDs,3
CDs,Different,9
Different,HD,9
HD,Europes,7
Europes,Europeans,2
Europeans,HDTV,9
HDTV,HD,2
HD,HD,0
HD,Dr,2
Dr,Mark,3
Mark,Tuffy,5
Tuffy,THX,4
THX,BBC,3
BBC,News,4
News,HD,4
HD,HDTVs,3
HDTVs,Chris,4
Chris,Deering,5
Deering,Sonys,7
Sonys,European,7
European,European,0
European,HDTV,8
HDTV,Datamonitor,11
Datamonitor,Europe,10
Europe,Satellite,8
Satellite,BSkyB,9
BSkyB,HDTV,5
HDTV,BBC,4
BBC,HD,3
HD,TV,2
TV,TV,0
TV,UK,2
UK,TV,2
TV,HD,2
HD,TV,2
TV,UK,2
UK,TV,2
TV,HD,2
HD,Dr,2
Dr,Tuffy,5
Tuffy,HD,5
HD,Demographics,12
Demographics,HD,12
HD,Higher,5
Higher,HD-DVD,5
HD-DVD,HD,4
HD,Dr,2
Dr,Tuffy,5
Tuffy,PC,5
PC,Lord,4
Lord,Rings,5
Rings,CGI,5
CGI,DVD,3
DVD,HD,2
HD,Dr,2
Dr,Tuffy,5
Web,Spanish,7
Spanish,Spin,4
Spin,US,4
US,Spanish-language,16
Spanish-language,Spanish-language,0
Spanish-language,Hip-hop,14
Hip-hop,Spanish-speaking,14
Spanish-speaking,US,16
US,Los,3
Los,Caballeros,8
Caballeros,Plan,9
Plan,G,4
G,Mexicos,7
Mexicos,Monterrey,8
Monterrey,Mexican,8
Mexican,Spanish-speaking,13
Spanish-speaking,Spanish,9
Spanish,Manuel,5
Manuel,Millan,5
Millan,San,4
San,Diego,5
Diego,California,9
California,Spanish,9
Spanish,Millan,7
Millan,Los,6
Los,Caballeros,8
Caballeros,Plan,9
Plan,G,4
G,Mainstream,10
Mainstream,So,10
So,Millan,6
Millan,Spanish,7
Spanish,English,4
English,Spanish,4
Spanish,DJs,6
DJs,Suddenly,8
Suddenly,Los,8
Los,Caballeros,8
Caballeros,Plan,9
Plan,G,4
G,Spanish,7
Spanish,Millan,7
Millan,Argentinas,9
Argentinas,Mustafa,8
Mustafa,Yoda,6
Yoda,Mustafa,6
Mustafa,Yoda,6
Yoda,Eminem,6
Eminem,Argentina,8
Argentina,Latin,6
Latin,American,6
American,Millan,6
Millan,Spanish-speaking,13
Spanish-speaking,Currently,15
Currently,Chilean,7
Chilean,Makisa,6
Makisa,Cuban,6
Cuban,Papo,5
Papo,Record,5
Record,Millan,6
Millan,Latinohiphopradiocom,18
Latinohiphopradiocom,Spanish,17
Spanish,Right,6
Right,Mexico,6
Mexico,Spain,5
Spain,Spain,0
Spain,Spanish-language,11
Spanish-language,Millan,12
Millan,Spain,5
Spain,United,6
United,States,4
States,France,5
France,Latin,5
Latin,American,6
American,Spaniard,7
Spaniard,Tote,8
Tote,King,4
King,Manuel,5
Manuel,Millan,5
Millan,Spain,5
Spain,Uno,5
Uno,Contra,5
Contra,Veinte,5
Veinte,Emcees,6
Emcees,One,5
One,Emcees,5
Emcees,Tote,5
Tote,King,4
King,Spain,4
Spain,Millan,5
Millan,Latinohiphopradiocom,18
Latinohiphopradiocom,Millan,18
Millan,Spanish,7
Spanish,Clark,6
Clark,Boyd,5
Boyd,World,3
World,BBC,5
BBC,World,5
World,Service,6
Service,WGBH-Boston,11
Cabs,Gadgets,5
Gadgets,London,7
London,PDAs,6
PDAs,Palms,3
Palms,Pocket,5
Pocket,PCs,5
PCs,Even,4
Even,Jemima,6
Jemima,Khan,6
Khan,Hugh,4
Hugh,Grant,5
Grant,Londoners,8
Londoners,Licensed,7
Licensed,Taxi,8
Taxi,Drivers,7
Drivers,Association,10
Association,Pointsec,8
Pointsec,London,6
London,Oslo,5
Oslo,Munich,6
Munich,Paris,5
Paris,Stockholm,9
Stockholm,Copenhagen,9
Copenhagen,Chicago,7
Chicago,Sydney,7
Sydney,Danes,4
Danes,Germans,5
Germans,Norwegians,6
Norwegians,Swedes,7
Swedes,Top,6
Top,Given,5
Given,PC,5
PC,Equally,7
Equally,Retrofone,9
Retrofone,Britons,6
Britons,Mobile,7
Mobile,Equipment,7
Equipment,National,8
National,Database,6
Database,ID,8
ID,According,9
According,Millions,8
Millions,Transport,8
Transport,London,7
Digital,UK,7
UK,TV,2
TV,UKs,3
UKs,TV,3
TV,Europe,6
Europe,Jupiter,5
Jupiter,Research,8
Research,UK,8
UK,Europeans,9
Europeans,TV,9
TV,Scandinavians,13
Scandinavians,UK,13
UK,TV,2
TV,Ofcom,5
Ofcom,European,7
European,Greece,6
Greece,Digital,7
Digital,Life,6
Life,Index,4
Index,Scandinavian,10
Scandinavian,Sweden,9
Sweden,Denmark,7
Denmark,Norway,6
Norway,European,6
European,Digital,7
Digital,Life,6
Life,Index,4
Index,Europe,6
Europe,Nate,5
Nate,Elliott,6
Elliott,Jupiter,6
Jupiter,Although,8
Although,European,8
European,Europe,2
Europe,UK,6
UK,UK,0
UK,Cable,5
Cable,NTL,5
NTL,ADSL,3
ADSL,Digital,7
Digital,Subscriber,9
Subscriber,Line,8
Line,ADSL2+,6
ADSL2+,BT,6
BT,Super-fast,10
Super-fast,TV,10
TV,France,6
France,European,7
European,GMIPoll,8
GMIPoll,TV,7
TV,Digital,7
Digital,DVR,6
DVR,However,7
However,Britons,7
Britons,Almost,6
Almost,Forty-four,9
Forty-four,Nintendo,8
Nintendo,DS,8
DS,Sonys,5
Sonys,PSP,5
PSP,Gizmondo,8
Gizmondo,Xbox,7
